market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-11-08 15:30:00,"USD Producer Price Index Ex Food, Energy, Trade (YoY) (OCT)",68,275,4.044117647
2018-10-23 07:00:00,JPY Coincident Index (AUG F),41,165,4.024390244
2018-10-23 07:00:00,JPY Leading Index CI (AUG F),41,165,4.024390244
2019-01-21 15:30:00,CAD Wholesale Trade Sales (MoM) (NOV),42,167,3.976190476
2019-01-21 15:30:00,CAD Manufacturing Sales (MoM) (NOV),42,167,3.976190476
2018-10-31 07:30:00,AUD RBA Commodity Index SDR (YoY) (OCT),43,169,3.930232558
2018-10-31 07:30:00,AUD Commodity Index AUD (OCT),43,169,3.930232558
2018-06-19 02:30:00,AUD Westpac Leading Index (MoM) (MAY),35,137,3.914285714
2018-05-30 14:30:00,CAD Quarterly Gross Domestic Product Annualized (1Q),30,117,3.9
2018-05-30 14:30:00,CAD Gross Domestic Product (MoM) (MAR),30,117,3.9
2018-05-30 14:30:00,CAD Gross Domestic Product (YoY) (MAR),30,117,3.9
2018-05-30 14:30:00,USD PCE Core (MoM) (APR),30,117,3.9
2018-05-30 14:30:00,USD PCE Core (YoY) (APR),30,117,3.9
2018-05-30 14:30:00,USD PCE Deflator (MoM) (APR),30,117,3.9
2018-05-30 14:30:00,USD PCE Deflator (YoY) (APR),30,117,3.9
2018-05-30 14:30:00,USD Personal Income (APR),30,117,3.9
2018-05-30 14:30:00,USD Personal Spending (APR),30,117,3.9
2018-05-30 14:30:00,USD Real Personal Spending (APR),30,117,3.9
2018-05-30 14:30:00,USD Initial Jobless Claims (26 MAY),30,117,3.9
2018-05-30 14:30:00,USD Continuing Claims (19 MAY),30,117,3.9
2018-06-12 20:00:00,USD FOMC Rate Decision (Upper Bound) (JUN 13),58,226,3.896551724
2018-06-12 20:00:00,USD FOMC Rate Decision (Lower Bound) (JUN 13),58,226,3.896551724
2018-02-25 15:30:00,USD Chicago Fed Nat Activity Index (JAN),38,148,3.894736842
2018-12-02 15:30:00,CAD MLI Leading Indicator (MoM) (OCT),76,294,3.868421053
2018-07-22 15:00:00,MXN Economic Activity IGAE (YoY) (MAY),44,170,3.863636364
2018-07-16 03:10:00,JPY BOJ Outright Bond Purchase 1~3 Years,27,104,3.851851852
2018-07-16 03:10:00,JPY BOJ Outright Bond Purchase 3~5 Years,27,104,3.851851852
